state,district,soil_type,season,irrigation_available,land_area,climate_zone,label_crop
Karnataka,Hubli,Alluvial,Zaid,0,10.1,Semi-arid,Onion
Karnataka,Belgaum,Sandy,Rabi,0,4.1,Semi-arid,Onion
Maharashtra,Solapur,Black,Zaid,1,23.7,Arid,Sunflower
Maharashtra,Pune,Black,Rabi,0,10.7,Semi-arid,Sunflower
Karnataka,Belgaum,Black,Kharif,1,10.4,Semi-arid,Soybean
Gujarat,Ahmedabad,Black,Rabi,1,11.7,Arid,Gram
Maharashtra,Kolhapur,Red,Rabi,0,16.9,Humid,Sunflower
Gujarat,Junagadh,Loamy,Rabi,1,19.8,Arid,Sunflower
Gujarat,Surat,Alluvial,Zaid,0,5.4,Humid,Maize
Karnataka,Bangalore Rural,Clay,Rabi,1,3.6,Semi-arid,Wheat
Karnataka,Mysore,Sandy,Kharif,1,18.9,Humid,Groundnut
Karnataka,Belgaum,Clay,Zaid,0,13.7,Semi-arid,Maize
Karnataka,Bangalore Rural,Loamy,Kharif,1,2.8,Semi-arid,Cotton
Gujarat,Vadodara,Red,Kharif,1,16.0,Semi-arid,Groundnut
Gujarat,Surat,Red,Rabi,0,8.3,Humid,Sunflower
Gujarat,Rajkot,Red,Zaid,0,3.9,Semi-arid,Groundnut
Maharashtra,Solapur,Laterite,Zaid,1,20.1,Arid,Groundnut
Gujarat,Ahmedabad,Laterite,Zaid,1,24.2,Arid,Groundnut
Gujarat,Junagadh,Sandy,Rabi,1,4.6,Arid,Wheat
Gujarat,Rajkot,Loamy,Zaid,1,2.8,Semi-arid,Maize
Karnataka,Hubli,Clay,Rabi,0,5.1,Semi-arid,Wheat
Karnataka,Hubli,Clay,Zaid,0,24.7,Semi-arid,Onion
Maharashtra,Kolhapur,Red,Rabi,0,8.7,Humid,Sunflower
Maharashtra,Nagpur,Red,Rabi,0,10.8,Sub-humid,Sunflower
Gujarat,Surat,Red,Zaid,1,15.7,Humid,Maize
Maharashtra,Nagpur,Alluvial,Rabi,0,16.0,Sub-humid,Gram
Karnataka,Hubli,Alluvial,Zaid,1,21.5,Semi-arid,Maize
Gujarat,Rajkot,Laterite,Rabi,1,8.0,Semi-arid,Sunflower
Gujarat,Ahmedabad,Sandy,Kharif,1,23.5,Arid,Groundnut
Gujarat,Ahmedabad,Alluvial,Kharif,0,16.4,Arid,Rice
Gujarat,Rajkot,Alluvial,Rabi,1,11.8,Semi-arid,Wheat
Karnataka,Mysore,Alluvial,Rabi,0,12.2,Humid,Gram
Karnataka,Hubli,Clay,Zaid,1,17.8,Semi-arid,Onion
Gujarat,Surat,Alluvial,Kharif,0,24.6,Humid,Rice
Maharashtra,Aurangabad,Laterite,Zaid,1,16.1,Semi-arid,Groundnut
Karnataka,Gulbarga,Sandy,Kharif,1,0.8,Semi-arid,Groundnut
Maharashtra,Satara,Alluvial,Kharif,1,7.8,Humid,Rice
Gujarat,Vadodara,Laterite,Rabi,1,15.0,Semi-arid,Wheat
Gujarat,Junagadh,Clay,Kharif,1,11.0,Arid,Rice
Karnataka,Hubli,Sandy,Zaid,1,6.7,Semi-arid,Groundnut
Maharashtra,Kolhapur,Sandy,Kharif,0,16.9,Humid,Groundnut
Maharashtra,Solapur,Sandy,Zaid,1,8.3,Arid,Groundnut
Gujarat,Ahmedabad,Alluvial,Rabi,1,4.7,Arid,Wheat
Karnataka,Bangalore Rural,Black,Kharif,1,17.1,Semi-arid,Cotton
Karnataka,Bangalore Rural,Sandy,Zaid,1,23.8,Semi-arid,Groundnut
Gujarat,Ahmedabad,Black,Zaid,1,22.3,Arid,Sunflower
Maharashtra,Nagpur,Clay,Rabi,0,6.4,Sub-humid,Gram
Maharashtra,Kolhapur,Sandy,Kharif,1,12.0,Humid,Groundnut
Maharashtra,Kolhapur,Sandy,Rabi,0,1.7,Humid,Wheat
Maharashtra,Nashik,Loamy,Kharif,1,5.9,Semi-arid,Cotton
Karnataka,Belgaum,Black,Kharif,1,20.5,Semi-arid,Soybean
Gujarat,Ahmedabad,Loamy,Kharif,1,1.6,Arid,Cotton
Gujarat,Junagadh,Black,Zaid,1,22.7,Arid,Sunflower
Maharashtra,Solapur,Black,Kharif,0,23.9,Arid,Jowar
Maharashtra,Aurangabad,Clay,Zaid,0,20.8,Semi-arid,Groundnut
Karnataka,Hubli,Red,Rabi,0,16.7,Semi-arid,Sunflower
Gujarat,Vadodara,Laterite,Kharif,1,2.5,Semi-arid,Groundnut
Gujarat,Surat,Loamy,Kharif,1,9.4,Humid,Sunflower
Karnataka,Hubli,Alluvial,Rabi,1,4.3,Semi-arid,Gram
Karnataka,Mysore,Sandy,Rabi,1,20.8,Humid,Wheat
Karnataka,Belgaum,Black,Rabi,1,11.5,Semi-arid,Sunflower
Gujarat,Surat,Sandy,Kharif,0,5.8,Humid,Groundnut
Maharashtra,Satara,Laterite,Kharif,1,11.0,Humid,Tur
Gujarat,Ahmedabad,Sandy,Rabi,0,11.4,Arid,Wheat
Gujarat,Rajkot,Laterite,Zaid,0,2.9,Semi-arid,Groundnut
Karnataka,Mysore,Black,Rabi,0,17.4,Humid,Gram
Maharashtra,Ahmednagar,Laterite,Kharif,0,9.0,Semi-arid,Groundnut
Maharashtra,Nashik,Laterite,Rabi,1,8.8,Semi-arid,Sunflower
Karnataka,Mysore,Black,Kharif,1,15.3,Humid,Sunflower
Karnataka,Belgaum,Loamy,Kharif,1,12.4,Semi-arid,Maize
Gujarat,Rajkot,Alluvial,Kharif,1,1.5,Semi-arid,Maize
Gujarat,Surat,Alluvial,Rabi,1,4.1,Humid,Onion
Karnataka,Gulbarga,Red,Kharif,1,9.7,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Red,Kharif,0,7.6,Semi-arid,Tur
Maharashtra,Kolhapur,Clay,Kharif,1,14.1,Humid,Rice
Karnataka,Gulbarga,Alluvial,Zaid,1,7.9,Semi-arid,Maize
Gujarat,Surat,Black,Kharif,1,7.1,Humid,Jowar
Gujarat,Vadodara,Alluvial,Kharif,1,3.9,Semi-arid,Maize
Gujarat,Surat,Alluvial,Zaid,0,18.5,Humid,Maize
Karnataka,Belgaum,Red,Zaid,1,10.2,Semi-arid,Groundnut
Maharashtra,Kolhapur,Laterite,Rabi,1,24.1,Humid,Wheat
Gujarat,Junagadh,Loamy,Rabi,1,19.9,Arid,Sunflower
Maharashtra,Solapur,Laterite,Kharif,0,23.6,Arid,Groundnut
Gujarat,Surat,Laterite,Rabi,1,9.7,Humid,Gram
Maharashtra,Satara,Loamy,Zaid,1,23.0,Humid,Maize
Maharashtra,Aurangabad,Sandy,Rabi,1,11.4,Semi-arid,Onion
Gujarat,Vadodara,Loamy,Kharif,1,24.9,Semi-arid,Maize
Maharashtra,Pune,Black,Kharif,1,6.4,Semi-arid,Sunflower
Gujarat,Rajkot,Sandy,Kharif,0,5.9,Semi-arid,Groundnut
Karnataka,Gulbarga,Clay,Zaid,0,13.4,Semi-arid,Sunflower
Maharashtra,Solapur,Laterite,Rabi,1,18.5,Arid,Onion
Karnataka,Mysore,Alluvial,Rabi,1,20.8,Humid,Gram
Gujarat,Rajkot,Black,Kharif,1,2.2,Semi-arid,Cotton
Maharashtra,Nagpur,Black,Zaid,0,17.7,Sub-humid,Sunflower
Gujarat,Ahmedabad,Red,Rabi,1,17.3,Arid,Sunflower
Gujarat,Rajkot,Alluvial,Rabi,0,23.7,Semi-arid,Gram
Maharashtra,Aurangabad,Alluvial,Rabi,1,2.4,Semi-arid,Onion
Karnataka,Bangalore Rural,Clay,Rabi,1,10.4,Semi-arid,Gram
Karnataka,Mysore,Loamy,Rabi,1,7.0,Humid,Sunflower
Gujarat,Junagadh,Loamy,Kharif,1,5.9,Arid,Maize
Gujarat,Junagadh,Alluvial,Kharif,0,5.1,Arid,Rice
Karnataka,Hubli,Red,Rabi,1,17.2,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Sandy,Zaid,1,13.2,Semi-arid,Groundnut
Gujarat,Surat,Laterite,Zaid,1,22.1,Humid,Groundnut
Gujarat,Rajkot,Black,Kharif,1,0.5,Semi-arid,Sunflower
Karnataka,Hubli,Clay,Rabi,0,14.8,Semi-arid,Gram
Karnataka,Gulbarga,Laterite,Kharif,1,23.3,Semi-arid,Tur
Gujarat,Rajkot,Black,Zaid,0,14.5,Semi-arid,Sunflower
Gujarat,Junagadh,Alluvial,Kharif,1,23.4,Arid,Rice
Maharashtra,Nashik,Loamy,Rabi,1,23.3,Semi-arid,Wheat
Gujarat,Surat,Loamy,Zaid,1,22.0,Humid,Maize
Gujarat,Ahmedabad,Laterite,Zaid,0,7.1,Arid,Groundnut
Gujarat,Vadodara,Sandy,Rabi,1,12.7,Semi-arid,Gram
Maharashtra,Aurangabad,Loamy,Rabi,1,19.4,Semi-arid,Sunflower
Gujarat,Ahmedabad,Sandy,Rabi,1,10.7,Arid,Onion
Maharashtra,Pune,Clay,Zaid,0,16.4,Semi-arid,Onion
Gujarat,Junagadh,Sandy,Rabi,1,23.3,Arid,Sunflower
Gujarat,Vadodara,Clay,Kharif,1,12.0,Semi-arid,Rice
Maharashtra,Nagpur,Alluvial,Zaid,1,20.7,Sub-humid,Onion
Maharashtra,Nagpur,Loamy,Kharif,1,6.4,Sub-humid,Soybean
Karnataka,Belgaum,Laterite,Rabi,1,12.6,Semi-arid,Gram
Maharashtra,Nagpur,Clay,Kharif,1,24.1,Sub-humid,Rice
Karnataka,Belgaum,Laterite,Zaid,0,19.4,Semi-arid,Groundnut
Karnataka,Bangalore Rural,Alluvial,Rabi,1,19.4,Semi-arid,Wheat
Karnataka,Gulbarga,Clay,Zaid,1,7.7,Semi-arid,Onion
Karnataka,Bangalore Rural,Black,Rabi,1,14.4,Semi-arid,Gram
Maharashtra,Ahmednagar,Laterite,Zaid,1,13.9,Semi-arid,Groundnut
Gujarat,Ahmedabad,Sandy,Rabi,1,22.5,Arid,Onion
Maharashtra,Nashik,Red,Kharif,0,12.1,Semi-arid,Cotton
Karnataka,Belgaum,Loamy,Kharif,1,16.4,Semi-arid,Sunflower
Karnataka,Belgaum,Black,Zaid,0,15.7,Semi-arid,Sunflower
Maharashtra,Nashik,Alluvial,Kharif,1,24.6,Semi-arid,Rice
Gujarat,Vadodara,Alluvial,Zaid,0,23.7,Semi-arid,Maize
Karnataka,Bangalore Rural,Black,Zaid,1,17.4,Semi-arid,Sunflower
Karnataka,Gulbarga,Laterite,Kharif,1,3.8,Semi-arid,Tur
Gujarat,Surat,Loamy,Kharif,0,24.1,Humid,Sunflower
Karnataka,Hubli,Clay,Rabi,1,11.7,Semi-arid,Wheat
Karnataka,Gulbarga,Laterite,Kharif,1,21.2,Semi-arid,Tur
Maharashtra,Nashik,Alluvial,Zaid,1,24.0,Semi-arid,Maize
Gujarat,Vadodara,Alluvial,Rabi,1,5.9,Semi-arid,Onion
Karnataka,Mysore,Loamy,Zaid,1,0.8,Humid,Maize
Gujarat,Junagadh,Alluvial,Kharif,0,24.0,Arid,Rice
Karnataka,Hubli,Loamy,Kharif,0,19.4,Semi-arid,Cotton
Karnataka,Belgaum,Alluvial,Zaid,0,24.0,Semi-arid,Onion
Maharashtra,Satara,Laterite,Kharif,0,19.7,Humid,Groundnut
Karnataka,Mysore,Sandy,Rabi,1,21.3,Humid,Onion
Gujarat,Junagadh,Alluvial,Kharif,1,22.4,Arid,Maize
Maharashtra,Satara,Loamy,Zaid,0,12.6,Humid,Sunflower
Gujarat,Ahmedabad,Alluvial,Kharif,1,1.9,Arid,Maize
Karnataka,Belgaum,Red,Kharif,1,14.3,Semi-arid,Sunflower
Maharashtra,Nashik,Black,Rabi,0,24.4,Semi-arid,Sunflower
Gujarat,Rajkot,Black,Kharif,1,23.9,Semi-arid,Cotton
Maharashtra,Pune,Sandy,Kharif,0,14.3,Semi-arid,Groundnut
Karnataka,Mysore,Alluvial,Kharif,1,22.4,Humid,Rice
Maharashtra,Kolhapur,Clay,Zaid,1,12.7,Humid,Groundnut
Maharashtra,Solapur,Black,Zaid,1,1.3,Arid,Sunflower
Gujarat,Vadodara,Red,Zaid,0,11.8,Semi-arid,Groundnut
Gujarat,Junagadh,Laterite,Rabi,0,9.1,Arid,Wheat
Karnataka,Belgaum,Black,Zaid,1,7.6,Semi-arid,Sunflower
Gujarat,Junagadh,Clay,Kharif,1,10.7,Arid,Rice
Maharashtra,Pune,Red,Zaid,1,0.7,Semi-arid,Maize
Gujarat,Vadodara,Laterite,Rabi,0,16.2,Semi-arid,Gram
Maharashtra,Ahmednagar,Red,Rabi,0,20.5,Semi-arid,Sunflower
Gujarat,Ahmedabad,Clay,Zaid,0,10.4,Arid,Groundnut
Karnataka,Gulbarga,Clay,Kharif,1,9.8,Semi-arid,Rice
Karnataka,Hubli,Alluvial,Rabi,0,14.8,Semi-arid,Wheat
Karnataka,Belgaum,Black,Zaid,0,19.1,Semi-arid,Sunflower
Maharashtra,Ahmednagar,Black,Zaid,1,23.4,Semi-arid,Sunflower
Gujarat,Rajkot,Clay,Kharif,1,3.6,Semi-arid,Rice
Maharashtra,Pune,Red,Zaid,1,4.0,Semi-arid,Groundnut
Maharashtra,Aurangabad,Black,Zaid,0,16.9,Semi-arid,Sunflower
Maharashtra,Pune,Alluvial,Rabi,1,19.8,Semi-arid,Wheat
Karnataka,Belgaum,Alluvial,Zaid,0,0.8,Semi-arid,Onion
Karnataka,Hubli,Sandy,Zaid,1,17.8,Semi-arid,Groundnut
Maharashtra,Pune,Black,Zaid,1,8.1,Semi-arid,Sunflower
Maharashtra,Solapur,Clay,Zaid,0,6.1,Arid,Onion
Maharashtra,Nagpur,Loamy,Zaid,1,20.5,Sub-humid,Sunflower
Gujarat,Rajkot,Red,Zaid,0,0.8,Semi-arid,Maize
Maharashtra,Pune,Laterite,Rabi,1,5.2,Semi-arid,Gram
Karnataka,Belgaum,Sandy,Kharif,0,15.3,Semi-arid,Groundnut
Maharashtra,Satara,Red,Kharif,1,8.6,Humid,Cotton
Gujarat,Vadodara,Black,Kharif,0,18.5,Semi-arid,Cotton
Gujarat,Rajkot,Clay,Kharif,1,7.3,Semi-arid,Rice
Karnataka,Belgaum,Black,Rabi,1,24.4,Semi-arid,Sunflower
Karnataka,Gulbarga,Laterite,Rabi,1,5.2,Semi-arid,Onion
Maharashtra,Aurangabad,Black,Zaid,1,5.5,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Red,Rabi,0,15.3,Semi-arid,Sunflower
Maharashtra,Ahmednagar,Clay,Zaid,1,17.5,Semi-arid,Maize
Gujarat,Surat,Clay,Kharif,1,24.1,Humid,Rice
Karnataka,Belgaum,Black,Rabi,1,7.1,Semi-arid,Gram
Maharashtra,Nagpur,Black,Zaid,1,4.3,Sub-humid,Sunflower
Karnataka,Mysore,Sandy,Zaid,0,15.8,Humid,Groundnut
Maharashtra,Nagpur,Black,Kharif,1,23.4,Sub-humid,Soybean
Gujarat,Ahmedabad,Red,Kharif,0,5.1,Arid,Groundnut
Karnataka,Belgaum,Red,Rabi,0,8.5,Semi-arid,Sunflower
Maharashtra,Ahmednagar,Black,Zaid,1,11.1,Semi-arid,Sunflower
Karnataka,Mysore,Laterite,Kharif,1,16.9,Humid,Tur
Maharashtra,Solapur,Loamy,Kharif,0,1.7,Arid,Soybean
Gujarat,Ahmedabad,Black,Rabi,1,6.6,Arid,Sunflower
Maharashtra,Nashik,Alluvial,Rabi,1,17.0,Semi-arid,Gram
Gujarat,Surat,Red,Rabi,1,12.6,Humid,Sunflower
Karnataka,Mysore,Red,Rabi,0,18.6,Humid,Sunflower
Gujarat,Surat,Black,Kharif,1,20.1,Humid,Sunflower
Maharashtra,Satara,Sandy,Kharif,1,19.8,Humid,Groundnut
Karnataka,Mysore,Alluvial,Rabi,1,11.3,Humid,Onion
Maharashtra,Ahmednagar,Laterite,Rabi,0,7.7,Semi-arid,Gram
Maharashtra,Kolhapur,Laterite,Rabi,1,1.9,Humid,Gram
Gujarat,Ahmedabad,Loamy,Zaid,1,16.6,Arid,Maize
Karnataka,Gulbarga,Sandy,Kharif,0,23.6,Semi-arid,Groundnut
Gujarat,Junagadh,Loamy,Zaid,1,7.6,Arid,Maize
Gujarat,Surat,Loamy,Kharif,1,9.2,Humid,Soybean
Maharashtra,Kolhapur,Loamy,Rabi,0,23.8,Humid,Gram
Karnataka,Belgaum,Red,Rabi,0,22.0,Semi-arid,Sunflower
Maharashtra,Satara,Alluvial,Kharif,1,5.2,Humid,Rice
Karnataka,Belgaum,Laterite,Zaid,1,10.7,Semi-arid,Groundnut
Maharashtra,Kolhapur,Loamy,Kharif,1,18.2,Humid,Cotton
Gujarat,Junagadh,Black,Zaid,1,18.1,Arid,Sunflower
Karnataka,Belgaum,Clay,Kharif,1,18.4,Semi-arid,Rice
Karnataka,Hubli,Loamy,Zaid,1,13.2,Semi-arid,Sunflower
Karnataka,Mysore,Clay,Zaid,0,14.5,Humid,Onion
Maharashtra,Ahmednagar,Black,Rabi,0,17.1,Semi-arid,Gram
Karnataka,Belgaum,Sandy,Rabi,1,13.9,Semi-arid,Onion
Maharashtra,Solapur,Loamy,Kharif,1,12.6,Arid,Soybean
Gujarat,Surat,Black,Zaid,1,19.2,Humid,Sunflower
Karnataka,Belgaum,Loamy,Kharif,0,15.5,Semi-arid,Soybean
Gujarat,Junagadh,Alluvial,Zaid,0,5.9,Arid,Onion
Maharashtra,Satara,Laterite,Kharif,1,21.0,Humid,Tur
Maharashtra,Aurangabad,Laterite,Zaid,1,13.5,Semi-arid,Groundnut
Gujarat,Surat,Black,Kharif,1,0.8,Humid,Sunflower
Maharashtra,Solapur,Red,Zaid,1,5.6,Arid,Groundnut
Karnataka,Bangalore Rural,Loamy,Kharif,0,21.3,Semi-arid,Sunflower
Maharashtra,Kolhapur,Red,Rabi,1,24.7,Humid,Sunflower
Maharashtra,Aurangabad,Red,Kharif,1,2.2,Semi-arid,Groundnut
Gujarat,Vadodara,Alluvial,Zaid,1,17.9,Semi-arid,Maize
Gujarat,Surat,Clay,Kharif,1,16.0,Humid,Rice
Gujarat,Ahmedabad,Laterite,Kharif,1,19.7,Arid,Tur
Gujarat,Surat,Laterite,Kharif,1,5.6,Humid,Tur
Gujarat,Vadodara,Black,Zaid,0,18.9,Semi-arid,Sunflower
Gujarat,Rajkot,Sandy,Rabi,0,14.7,Semi-arid,Onion
Karnataka,Bangalore Rural,Red,Kharif,0,7.1,Semi-arid,Maize
Gujarat,Ahmedabad,Sandy,Zaid,0,21.8,Arid,Groundnut
Gujarat,Ahmedabad,Red,Rabi,1,11.4,Arid,Sunflower
Karnataka,Belgaum,Clay,Rabi,1,16.1,Semi-arid,Wheat
Maharashtra,Pune,Clay,Kharif,0,11.8,Semi-arid,Rice
Gujarat,Vadodara,Loamy,Rabi,1,19.5,Semi-arid,Wheat
Gujarat,Vadodara,Red,Kharif,0,4.2,Semi-arid,Maize
Maharashtra,Ahmednagar,Clay,Rabi,1,22.3,Semi-arid,Wheat
Karnataka,Hubli,Clay,Kharif,0,22.3,Semi-arid,Rice
Maharashtra,Ahmednagar,Sandy,Rabi,1,18.8,Semi-arid,Wheat
Maharashtra,Solapur,Clay,Zaid,0,8.5,Arid,Sunflower
Maharashtra,Nashik,Alluvial,Kharif,1,14.5,Semi-arid,Maize
Maharashtra,Pune,Alluvial,Zaid,1,19.7,Semi-arid,Onion
Gujarat,Vadodara,Sandy,Zaid,1,0.9,Semi-arid,Groundnut
Maharashtra,Solapur,Laterite,Zaid,0,15.7,Arid,Groundnut
Maharashtra,Kolhapur,Sandy,Rabi,1,2.2,Humid,Onion
Gujarat,Rajkot,Red,Rabi,1,14.7,Semi-arid,Sunflower
Gujarat,Rajkot,Clay,Rabi,1,13.4,Semi-arid,Gram
Gujarat,Junagadh,Laterite,Rabi,1,20.2,Arid,Onion
Maharashtra,Satara,Alluvial,Zaid,0,9.4,Humid,Onion
Gujarat,Rajkot,Sandy,Kharif,1,16.3,Semi-arid,Groundnut
Karnataka,Hubli,Clay,Zaid,0,20.4,Semi-arid,Maize
Karnataka,Hubli,Loamy,Kharif,0,4.7,Semi-arid,Maize
Maharashtra,Ahmednagar,Alluvial,Zaid,1,11.6,Semi-arid,Onion
Karnataka,Mysore,Laterite,Rabi,1,4.3,Humid,Onion
Karnataka,Hubli,Laterite,Rabi,1,15.0,Semi-arid,Gram
Karnataka,Bangalore Rural,Sandy,Rabi,1,15.4,Semi-arid,Wheat
Karnataka,Mysore,Loamy,Kharif,0,17.2,Humid,Cotton
Gujarat,Ahmedabad,Alluvial,Zaid,1,22.5,Arid,Onion
Gujarat,Ahmedabad,Loamy,Zaid,0,3.6,Arid,Maize
Maharashtra,Ahmednagar,Laterite,Kharif,1,22.4,Semi-arid,Groundnut
Karnataka,Mysore,Red,Rabi,1,4.6,Humid,Sunflower
Karnataka,Hubli,Laterite,Zaid,1,24.3,Semi-arid,Groundnut
Gujarat,Rajkot,Clay,Kharif,1,3.7,Semi-arid,Rice
Maharashtra,Nagpur,Sandy,Kharif,1,5.7,Sub-humid,Groundnut
Gujarat,Surat,Clay,Zaid,0,7.1,Humid,Groundnut
Gujarat,Rajkot,Laterite,Rabi,0,3.9,Semi-arid,Onion
Karnataka,Mysore,Laterite,Rabi,0,11.3,Humid,Wheat
Karnataka,Belgaum,Loamy,Rabi,1,9.4,Semi-arid,Sunflower
Maharashtra,Solapur,Red,Zaid,0,16.8,Arid,Groundnut
Gujarat,Junagadh,Black,Kharif,0,0.9,Arid,Soybean
Maharashtra,Solapur,Black,Zaid,1,17.3,Arid,Sunflower
Maharashtra,Aurangabad,Red,Zaid,1,10.7,Semi-arid,Maize
Maharashtra,Kolhapur,Black,Kharif,1,14.4,Humid,Soybean
Karnataka,Bangalore Rural,Laterite,Zaid,0,18.7,Semi-arid,Groundnut
Gujarat,Vadodara,Sandy,Rabi,0,12.5,Semi-arid,Gram
Karnataka,Gulbarga,Clay,Zaid,1,4.0,Semi-arid,Maize
Gujarat,Surat,Alluvial,Zaid,1,18.4,Humid,Onion
Maharashtra,Satara,Laterite,Kharif,1,6.7,Humid,Tur
Gujarat,Vadodara,Sandy,Kharif,0,19.9,Semi-arid,Groundnut
Maharashtra,Pune,Clay,Kharif,1,5.4,Semi-arid,Rice
Karnataka,Mysore,Sandy,Zaid,1,5.6,Humid,Groundnut
Gujarat,Junagadh,Loamy,Kharif,1,19.1,Arid,Maize
Karnataka,Hubli,Loamy,Kharif,0,23.4,Semi-arid,Cotton
Karnataka,Hubli,Sandy,Zaid,1,5.5,Semi-arid,Groundnut
Gujarat,Vadodara,Loamy,Kharif,1,19.5,Semi-arid,Maize
Karnataka,Belgaum,Black,Kharif,0,4.4,Semi-arid,Cotton
Karnataka,Belgaum,Loamy,Kharif,0,22.9,Semi-arid,Maize
Gujarat,Vadodara,Black,Zaid,0,10.1,Semi-arid,Sunflower
Gujarat,Ahmedabad,Black,Rabi,1,14.4,Arid,Wheat
Karnataka,Hubli,Clay,Kharif,0,11.1,Semi-arid,Rice
Maharashtra,Aurangabad,Alluvial,Zaid,1,8.6,Semi-arid,Maize
Gujarat,Vadodara,Alluvial,Kharif,1,5.2,Semi-arid,Maize
Karnataka,Gulbarga,Alluvial,Rabi,1,7.4,Semi-arid,Wheat
Karnataka,Belgaum,Black,Zaid,1,20.0,Semi-arid,Sunflower
Karnataka,Mysore,Laterite,Kharif,1,24.8,Humid,Tur
Karnataka,Bangalore Rural,Clay,Zaid,1,4.5,Semi-arid,Sunflower
Gujarat,Junagadh,Black,Zaid,1,6.5,Arid,Sunflower
Karnataka,Belgaum,Red,Rabi,1,7.7,Semi-arid,Sunflower
Gujarat,Ahmedabad,Loamy,Zaid,1,16.8,Arid,Maize
Karnataka,Hubli,Laterite,Zaid,1,7.8,Semi-arid,Groundnut
Karnataka,Belgaum,Red,Rabi,0,15.3,Semi-arid,Sunflower
Karnataka,Gulbarga,Clay,Kharif,1,7.6,Semi-arid,Rice
Karnataka,Bangalore Rural,Loamy,Rabi,1,14.8,Semi-arid,Gram
Karnataka,Belgaum,Alluvial,Zaid,1,14.7,Semi-arid,Maize
Gujarat,Rajkot,Red,Rabi,1,0.8,Semi-arid,Sunflower
Maharashtra,Solapur,Sandy,Rabi,1,11.9,Arid,Sunflower
Maharashtra,Satara,Sandy,Kharif,1,15.1,Humid,Groundnut
Gujarat,Rajkot,Laterite,Zaid,1,14.4,Semi-arid,Groundnut
Maharashtra,Kolhapur,Clay,Rabi,0,1.3,Humid,Wheat
Gujarat,Surat,Loamy,Zaid,1,17.5,Humid,Maize
Maharashtra,Ahmednagar,Black,Kharif,1,17.4,Semi-arid,Jowar
Gujarat,Ahmedabad,Clay,Rabi,0,20.0,Arid,Gram
Maharashtra,Pune,Clay,Rabi,1,20.9,Semi-arid,Gram
Maharashtra,Satara,Alluvial,Rabi,1,3.9,Humid,Onion
Maharashtra,Aurangabad,Sandy,Kharif,1,5.5,Semi-arid,Groundnut
Maharashtra,Satara,Red,Kharif,1,15.2,Humid,Tur
Karnataka,Bangalore Rural,Clay,Rabi,1,15.7,Semi-arid,Gram
Maharashtra,Satara,Clay,Kharif,1,6.4,Humid,Rice
Gujarat,Rajkot,Loamy,Zaid,1,9.2,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Sandy,Kharif,1,6.8,Semi-arid,Groundnut
Maharashtra,Satara,Red,Rabi,1,5.8,Humid,Sunflower
Gujarat,Vadodara,Clay,Kharif,1,13.2,Semi-arid,Rice
Gujarat,Rajkot,Loamy,Kharif,1,21.0,Semi-arid,Maize
Gujarat,Surat,Sandy,Kharif,1,2.7,Humid,Groundnut
Karnataka,Gulbarga,Sandy,Kharif,1,11.4,Semi-arid,Groundnut
Gujarat,Junagadh,Clay,Rabi,0,6.3,Arid,Gram
Maharashtra,Ahmednagar,Clay,Rabi,0,12.4,Semi-arid,Gram
Maharashtra,Nashik,Laterite,Rabi,1,1.5,Semi-arid,Gram
Gujarat,Rajkot,Black,Zaid,1,18.3,Semi-arid,Sunflower
Karnataka,Mysore,Clay,Kharif,1,19.7,Humid,Rice
Gujarat,Surat,Alluvial,Kharif,1,16.7,Humid,Rice
Maharashtra,Aurangabad,Black,Kharif,1,15.8,Semi-arid,Cotton
Gujarat,Vadodara,Loamy,Rabi,0,3.7,Semi-arid,Gram
Gujarat,Ahmedabad,Red,Rabi,0,17.4,Arid,Sunflower
Gujarat,Ahmedabad,Black,Rabi,1,8.7,Arid,Sunflower
Gujarat,Rajkot,Sandy,Kharif,0,8.0,Semi-arid,Groundnut
Karnataka,Hubli,Laterite,Kharif,1,1.7,Semi-arid,Groundnut
Maharashtra,Aurangabad,Red,Zaid,1,14.8,Semi-arid,Groundnut
Gujarat,Surat,Laterite,Kharif,1,0.7,Humid,Groundnut
Gujarat,Rajkot,Loamy,Zaid,0,3.7,Semi-arid,Sunflower
Gujarat,Vadodara,Laterite,Kharif,0,20.2,Semi-arid,Groundnut
Maharashtra,Solapur,Sandy,Rabi,1,11.5,Arid,Gram
Maharashtra,Satara,Loamy,Rabi,0,1.8,Humid,Gram
Maharashtra,Kolhapur,Alluvial,Zaid,1,13.5,Humid,Maize
Karnataka,Gulbarga,Sandy,Zaid,0,13.9,Semi-arid,Groundnut
Gujarat,Vadodara,Red,Rabi,1,4.7,Semi-arid,Sunflower
Karnataka,Gulbarga,Alluvial,Zaid,0,6.5,Semi-arid,Onion
Karnataka,Bangalore Rural,Laterite,Zaid,1,6.1,Semi-arid,Groundnut
Karnataka,Bangalore Rural,Loamy,Zaid,0,17.0,Semi-arid,Sunflower
Karnataka,Gulbarga,Laterite,Zaid,0,9.3,Semi-arid,Groundnut
Maharashtra,Nagpur,Red,Kharif,0,4.3,Sub-humid,Tur
Gujarat,Surat,Clay,Zaid,1,14.7,Humid,Onion
